Run_ID,Score,Fitness
186,64,30
187,616,466
188,1200,1050
189,316,316
190,188,38
191,244,94
192,512,362
193,592,542
194,276,126
195,288,138
196,928,778
197,280,230
198,840,840
199,856,706
200,700,550
201,516,466
202,372,222
203,1168,1068
204,204,54
205,948,798
206,592,442
207,1224,1074
208,172,22
209,1356,1206
210,880,730
211,716,566
212,140,1
213,636,536
214,1252,1102
215,500,400
216,1280,1180
217,512,362
218,428,428
219,760,760
220,692,542
221,1044,894
222,1244,1094
223,364,214
224,476,326
225,268,118
226,1208,1058
227,1144,994
228,188,38
229,684,534
230,624,474
231,368,218
232,632,532
233,656,656
234,692,542
235,1052,952
236,152,2
237,532,382
238,332,182
239,188,38
240,664,514
241,408,258
242,620,470
243,552,502
244,500,450
245,628,478
246,692,542
247,400,250
248,160,10
249,776,626
250,828,728
251,324,174
252,760,710
253,572,422
254,788,738
255,1188,1038
256,964,814
257,1124,974
258,616,466
259,1036,986
260,620,470
261,444,444
262,1292,1142
263,556,406
264,2016,1866
265,1528,1378
266,644,494
267,276,126
268,1020,920
269,1132,1032
270,468,318
271,888,838
272,772,622
273,652,502
274,1244,1094
275,820,670
276,456,306
277,620,570
278,720,570
279,1464,1314
280,152,34
281,600,450
282,356,206
283,988,838
284,324,174
285,580,480
286,476,326
287,924,774
288,1808,1658
289,308,308
290,472,322
291,280,230
292,664,564
293,224,74
294,284,234
295,544,394
296,524,474
297,328,328
298,656,506
299,172,172
300,280,130
301,548,398
302,460,310
303,424,274
304,332,332
305,1092,942
306,292,142
307,276,126
308,1080,930
309,624,474
310,420,270
311,532,382
312,1544,1394
313,512,362
314,380,230
315,620,470
316,1336,1336
317,712,562
318,768,618
319,632,610
320,984,834
321,468,318
322,536,386
323,348,198
324,716,566
325,548,398
326,728,678
327,736,586
328,272,272
329,172,22
330,288,138
331,824,674
332,1080,980
333,372,222
334,736,586
335,692,592
336,600,628
337,960,810
338,792,742
339,1624,1474
340,900,750
341,184,34
342,556,506
343,428,278
344,600,450
345,1152,1002
346,432,282
347,196,46
348,188,138
349,512,362
350,1176,1026
351,528,378
352,476,326
353,432,282
354,756,606
355,244,244
356,332,182
357,568,568
358,468,318
359,476,326
360,1044,894
361,600,550
362,420,270
363,748,598
364,396,246
365,580,430
366,480,330
367,524,374
368,556,406
369,696,646
370,940,840
371,680,530
372,1084,934
373,468,318
374,864,714
375,752,602
376,652,602
377,516,516
378,464,314
379,1396,1246
380,828,728
381,600,450
382,376,226
383,544,394
384,408,258
385,676,526
386,612,462
387,300,150
388,384,234
389,676,526
390,996,996
391,876,826
392,444,294
393,392,242
394,1424,1274
